generation,n_valid,n_invalid,gen_time_sec,p000_min,p000_max,p000_mean,p000_std,p000_median,p000_mad,p001_min,p001_max,p001_mean,p001_std,p001_median,p001_mad,p010_min,p010_max,p010_mean,p010_std,p010_median,p010_mad,p011_min,p011_max,p011_mean,p011_std,p011_median,p011_mad,p100_min,p100_max,p100_mean,p100_std,p100_median,p100_mad,p101_min,p101_max,p101_mean,p101_std,p101_median,p101_mad,p110_min,p110_max,p110_mean,p110_std,p110_median,p110_mad,p111_min,p111_max,p111_mean,p111_std,p111_median,p111_mad,unique_behaviors,behavior_diversity,scalar_fitness_min,scalar_fitness_mean
40,300,0,387.39,0.0001,0.9775,0.09785,0.172359,0.01485,0.01465,0.0001,0.9774,0.109949,0.193445,0.04325,0.04275,0.0001,0.9766,0.121762,0.20471,0.0551,0.0547,0.0002,0.9799,0.161393,0.256446,0.10415,0.09655,0.0,0.976,0.104855,0.195514,0.0186,0.0185,0.0001,0.9796,0.116266,0.202902,0.02385,0.0236,0.0001,0.9765,0.122108,0.195178,0.0645,0.0611,0.0004,0.9773,0.165816,0.250875,0.1183,0.11225,268,0.8933,0.4432,11.067584
41,300,0,413.47,0.0001,0.9775,0.11745,0.196342,0.0552,0.0548,0.0002,0.9774,0.09598,0.168149,0.0213,0.0208,0.0001,0.9814,0.16626,0.25366,0.11995,0.11235,0.0003,0.9767,0.129532,0.195968,0.07715,0.07015,0.0001,0.9761,0.101674,0.15595,0.04675,0.04635,0.0,0.9797,0.107326,0.181141,0.05905,0.05815,0.0,0.9807,0.121956,0.187354,0.06685,0.0611,0.0002,0.9793,0.159822,0.243053,0.11675,0.11,278,0.9267,0.4207,11.092978
42,300,0,386.83,0.0001,0.9777,0.10631,0.194357,0.0193,0.0191,0.0001,0.9774,0.121317,0.224151,0.03145,0.03115,0.0,0.979,0.156747,0.24101,0.07335,0.06915,0.0001,0.9767,0.121789,0.200681,0.04575,0.04505,0.0,0.9789,0.1092,0.190831,0.0145,0.0143,0.0,0.9796,0.101064,0.185482,0.01575,0.01535,0.0001,0.9807,0.118428,0.1909,0.03555,0.03525,0.0001,0.98,0.165145,0.261139,0.0693,0.0664,268,0.8933,0.4207,11.109389
43,300,0,383.37,0.0,0.979,0.110761,0.199826,0.0333,0.033,0.0002,0.9807,0.091856,0.178093,0.0106,0.01025,0.0001,0.9816,0.154388,0.227479,0.1182,0.11215,0.0001,0.9793,0.142913,0.229572,0.0711,0.0653,0.0001,0.9782,0.104846,0.186963,0.0158,0.01545,0.0,0.9796,0.113135,0.199378,0.05865,0.0582,0.0001,0.9807,0.140415,0.220524,0.07355,0.06805,0.0001,0.9804,0.141686,0.214203,0.07695,0.07135,269,0.8967,0.4196,11.481047
44,300,0,403.98,0.0001,0.9807,0.104321,0.19098,0.019,0.0188,0.0001,0.9774,0.096446,0.174384,0.009,0.0086,0.0,0.9796,0.143502,0.245364,0.01725,0.01715,0.0001,0.9793,0.160733,0.248057,0.069,0.0636,0.0,0.9775,0.097202,0.192222,0.00865,0.00835,0.0,0.9796,0.095855,0.162502,0.01975,0.01945,0.0001,0.9777,0.127695,0.218643,0.01675,0.0165,0.0,0.9804,0.174246,0.258886,0.11765,0.11205,276,0.92,0.4196,10.813687
45,300,0,376.53,0.0002,0.979,0.100222,0.188813,0.0083,0.00785,0.0002,0.9795,0.120519,0.224336,0.00785,0.0073,0.0001,0.9797,0.142757,0.230616,0.0228,0.0227,0.0001,0.9797,0.12529,0.223672,0.01165,0.01135,0.0,0.9796,0.134061,0.236671,0.00845,0.00815,0.0001,0.9796,0.116737,0.218454,0.00895,0.00865,0.0001,0.9793,0.134748,0.241519,0.0099,0.0096,0.0,0.9804,0.125665,0.216727,0.00885,0.00835,269,0.8967,0.4031,11.241935
46,300,0,417.49,0.0001,0.9796,0.107119,0.163904,0.0666,0.0623,0.0002,0.9795,0.105998,0.179099,0.04935,0.04885,0.0001,0.9787,0.131344,0.198512,0.11935,0.1119,0.0,0.98,0.138377,0.230638,0.09315,0.08625,0.0,0.9782,0.115483,0.17034,0.103,0.09755,0.0001,0.9796,0.122512,0.197032,0.0931,0.0865,0.0001,0.9789,0.120411,0.20232,0.07005,0.0632,0.0001,0.9804,0.158756,0.242792,0.1203,0.1138,283,0.9433,0.3807,11.049511
47,300,0,374.95,0.0,0.9793,0.118893,0.225266,0.01075,0.01045,0.0,0.9795,0.114838,0.222916,0.0091,0.0088,0.0001,0.9783,0.151554,0.24522,0.0696,0.0646,0.0,0.9814,0.131902,0.226208,0.0631,0.0616,0.0001,0.9782,0.102719,0.194576,0.0084,0.0081,0.0001,0.9792,0.103265,0.209613,0.0078,0.0074,0.0001,0.9801,0.144379,0.238555,0.06815,0.0626,0.0001,0.9811,0.132451,0.232354,0.0168,0.0166,262,0.8733,0.3807,11.226816
48,300,0,394.2,0.0001,0.9788,0.090599,0.162881,0.0117,0.0114,0.0,0.9784,0.109559,0.194645,0.0183,0.01805,0.0,0.9789,0.172108,0.259785,0.1213,0.1152,0.0,0.9792,0.149201,0.229034,0.1195,0.1126,0.0,0.9786,0.113462,0.20632,0.01205,0.01185,0.0001,0.9792,0.093013,0.17157,0.00965,0.0094,0.0001,0.9777,0.128908,0.205441,0.0738,0.0675,0.0001,0.98,0.14315,0.223621,0.08755,0.08175,274,0.9133,0.3807,11.15385
49,300,0,403.02,0.0001,0.978,0.091422,0.153915,0.01025,0.00995,0.0001,0.9805,0.086314,0.16432,0.0103,0.0099,0.0,0.9799,0.175918,0.266358,0.11815,0.11185,0.0,0.9809,0.142904,0.238208,0.0645,0.06135,0.0001,0.9788,0.115009,0.217915,0.01045,0.01015,0.0001,0.9781,0.081302,0.140716,0.00825,0.0078,0.0001,0.9807,0.178966,0.275724,0.09445,0.08865,0.0002,0.9793,0.128164,0.211105,0.02215,0.02195,273,0.91,0.3807,11.254636
50,300,0,395.13,0.0001,0.9779,0.111188,0.200462,0.0174,0.01725,0.0,0.9805,0.109906,0.211616,0.00865,0.00815,0.0001,0.9781,0.167449,0.257827,0.1206,0.1153,0.0,0.9809,0.127731,0.213845,0.01455,0.01455,0.0001,0.9805,0.104353,0.194552,0.00785,0.0075,0.0001,0.9815,0.107726,0.206247,0.00795,0.00765,0.0001,0.9797,0.136703,0.222829,0.044,0.0436,0.0002,0.9817,0.134943,0.241689,0.0105,0.0101,273,0.91,0.3807,11.102457
51,300,0,393.42,0.0001,0.9794,0.111452,0.210011,0.011,0.0108,0.0001,0.9807,0.102248,0.201135,0.0075,0.00695,0.0001,0.9806,0.165868,0.262197,0.05275,0.05255,0.0,0.9809,0.155958,0.256034,0.0382,0.038,0.0001,0.978,0.108862,0.200182,0.00785,0.00755,0.0,0.9791,0.095343,0.176711,0.007,0.0066,0.0001,0.9788,0.137816,0.226707,0.0206,0.02045,0.0001,0.9793,0.122453,0.204904,0.0113,0.011,280,0.9333,0.3807,10.969347
52,300,0,389.81,0.0,0.9822,0.087834,0.178233,0.0073,0.00695,0.0,0.9818,0.101368,0.199378,0.007,0.00665,0.0,0.9774,0.157754,0.258131,0.0634,0.0619,0.0001,0.9809,0.162084,0.27019,0.06685,0.0621,0.0001,0.9791,0.106726,0.204878,0.0086,0.0083,0.0,0.9794,0.092823,0.185445,0.00705,0.00655,0.0001,0.9821,0.151656,0.255861,0.063,0.06165,0.0001,0.9793,0.139755,0.238496,0.0532,0.0527,278,0.9267,0.3807,10.946245
53,300,0,403.58,0.0,0.9822,0.085428,0.160887,0.0105,0.0102,0.0,0.98,0.103748,0.193027,0.01275,0.01245,0.0001,0.9777,0.132315,0.21829,0.06485,0.06105,0.0001,0.9791,0.140106,0.223286,0.06705,0.061,0.0,0.9791,0.106875,0.191029,0.0135,0.0132,0.0001,0.9778,0.097697,0.170719,0.01715,0.01675,0.0001,0.9796,0.166901,0.255641,0.1197,0.1128,0.0001,0.9793,0.166931,0.249226,0.1206,0.11285,285,0.95,0.3807,10.913803
54,300,0,418.82,0.0,0.98,0.088626,0.170588,0.00995,0.0095,0.0001,0.9793,0.111347,0.199372,0.0166,0.01625,0.0001,0.9794,0.142279,0.229288,0.06335,0.06195,0.0001,0.9799,0.133087,0.217024,0.06455,0.06045,0.0001,0.9791,0.106045,0.196124,0.01305,0.01275,0.0001,0.9812,0.104009,0.18734,0.0284,0.0278,0.0001,0.9784,0.130824,0.212414,0.0231,0.0229,0.0,0.9793,0.183783,0.279876,0.1056,0.0999,284,0.9467,0.3807,10.748283
55,300,0,383.56,0.0,0.9814,0.089197,0.178175,0.0064,0.006,0.0,0.9783,0.111437,0.225905,0.01065,0.01035,0.0,0.9795,0.121923,0.217852,0.0103,0.0101,0.0,0.9809,0.171478,0.267206,0.0588,0.0585,0.0001,0.9771,0.078924,0.161224,0.0063,0.0059,0.0,0.9779,0.111013,0.223965,0.00845,0.00775,0.0001,0.9782,0.137637,0.237728,0.01305,0.0128,0.0001,0.9815,0.178391,0.28246,0.0442,0.0437,270,0.9,0.3807,10.548275
56,300,0,402.59,0.0001,0.9808,0.086799,0.178943,0.008,0.0074,0.0001,0.9782,0.11803,0.218773,0.01295,0.01265,0.0,0.9812,0.118478,0.215875,0.01315,0.01285,0.0,0.9788,0.158124,0.258762,0.0655,0.0614,0.0002,0.9805,0.105369,0.197696,0.00955,0.00895,0.0,0.9793,0.136938,0.237845,0.0242,0.024,0.0002,0.9789,0.12252,0.215365,0.01185,0.01155,0.0,0.9793,0.153742,0.240238,0.07115,0.0655,279,0.93,0.3807,11.012324
