arm,state,seed,run_id,fidelity,gate_count,depth,two_qubit_gates,raw_two_qubit_gates,raw_gate_count,raw_depth,raw_fitness,stop_reason,early_stopped_gen
lexi2,010,33537,4,0.9787,17,11,4,6,44,22,0.3613,"Hardware targets achieved: fidelity=0.979, gates=17, depth=11",28
lexi2,010,12147,3,0.9791,20,11,3,7,61,32,0.42090000000000005,"Hardware targets achieved: fidelity=0.979, gates=20, depth=11",17
lexi2,010,67154,7,0.9766,23,14,5,7,51,27,0.4834,completed_all_generations,99
lexi2,010,70300,5,0.9779,11,7,3,6,56,33,0.2421,"Hardware targets achieved: fidelity=0.978, gates=11, depth=7",47
lexi2,010,29440,10,0.9785,13,8,2,10,49,28,0.2815,"Hardware targets achieved: fidelity=0.979, gates=13, depth=8",90
lexi2,010,47182,2,0.9758,20,12,4,11,77,39,0.4242,"Hardware targets achieved: fidelity=0.976, gates=20, depth=12",67
lexi2,010,80248,8,0.9851,5,3,0,5,43,21,0.11490000000000003,"Hardware targets achieved: fidelity=0.985, gates=5, depth=3",39
lexi2,011,21315,1,0.9758,22,13,5,5,47,23,0.4642,completed_all_generations,99
lexi2,011,74135,6,0.9751,21,13,6,6,62,31,0.4449,completed_all_generations,99
lexi2,011,91197,9,0.9887,5,2,0,8,59,33,0.11129999999999998,"Hardware targets achieved: fidelity=0.989, gates=5, depth=2",37
lexi2,011,33537,4,0.9874,8,3,0,2,48,24,0.17259999999999995,"Hardware targets achieved: fidelity=0.987, gates=8, depth=3",36
lexi2,011,12147,3,0.9806,8,3,1,11,61,31,0.17939999999999998,"Hardware targets achieved: fidelity=0.981, gates=8, depth=3",28
lexi2,011,67154,7,0.9783,8,4,1,4,46,24,0.18170000000000006,"Hardware targets achieved: fidelity=0.978, gates=8, depth=4",63
lexi2,011,70300,5,0.5985,66,45,10,5,38,21,1.7215,completed_all_generations,99
lexi2,011,29440,10,0.9711,28,16,6,6,48,25,0.5889000000000001,completed_all_generations,99
lexi2,011,47182,2,0.4896,29,16,5,5,40,20,1.0903999999999998,completed_all_generations,99
lexi2,011,80248,8,0.9528,12,9,2,2,36,17,0.2872,"Hardware targets achieved: fidelity=0.953, gates=12, depth=9",16
lexi2,100,21315,1,0.98,17,10,3,7,59,29,0.36000000000000004,"Hardware targets achieved: fidelity=0.980, gates=17, depth=10",60
lexi2,100,74135,6,0.9585,54,37,10,5,44,22,1.1215000000000002,completed_all_generations,99
lexi2,100,91197,9,0.9809,20,10,3,7,60,29,0.41910000000000003,"Hardware targets achieved: fidelity=0.981, gates=20, depth=10",25
lexi2,100,33537,4,0.9723,20,13,5,5,44,22,0.42769999999999997,"Hardware targets achieved: fidelity=0.972, gates=20, depth=13",86
lexi2,100,12147,3,0.9768,17,9,3,8,63,30,0.3632,"Hardware targets achieved: fidelity=0.977, gates=17, depth=9",75
lexi2,100,67154,7,0.9746,20,12,5,5,44,21,0.4254,"Hardware targets achieved: fidelity=0.975, gates=20, depth=12",36
lexi2,100,70300,5,0.9803,18,9,3,10,65,42,0.37970000000000004,"Hardware targets achieved: fidelity=0.980, gates=18, depth=9",22
lexi2,100,29440,10,0.9869,6,3,0,7,48,25,0.1331,"Hardware targets achieved: fidelity=0.987, gates=6, depth=3",56
lexi2,100,47182,2,0.9778,10,6,1,5,45,22,0.2222,"Hardware targets achieved: fidelity=0.978, gates=10, depth=6",46
lexi2,100,80248,8,0.9763,25,18,5,5,48,25,0.5237,completed_all_generations,99
lexi2,101,21315,1,0.982,7,3,0,6,45,23,0.15800000000000003,completed_all_generations,99
lexi2,101,74135,6,0.4906,20,12,4,5,41,20,0.9094000000000001,completed_all_generations,99
lexi2,101,91197,9,0.9754,15,8,3,7,44,22,0.32459999999999994,"Hardware targets achieved: fidelity=0.975, gates=15, depth=8",15
lexi2,101,33537,4,0.979,11,7,1,2,31,17,0.24100000000000002,"Hardware targets achieved: fidelity=0.979, gates=11, depth=7",29
lexi2,101,12147,3,0.5958,63,43,10,7,60,29,1.6642000000000001,completed_all_generations,99
lexi2,101,67154,7,0.6709,55,33,9,19,71,44,1.4291,completed_all_generations,99
lexi2,101,70300,5,0.9801,16,9,3,3,34,16,0.33990000000000004,"Hardware targets achieved: fidelity=0.980, gates=16, depth=9",33
lexi2,101,29440,10,0.9806,9,5,2,2,30,14,0.19939999999999997,"Hardware targets achieved: fidelity=0.981, gates=9, depth=5",36
lexi2,101,47182,2,0.6726,65,44,12,3,30,15,1.6274000000000002,completed_all_generations,99
lexi2,101,80248,8,0.9783,13,10,2,2,27,12,0.28170000000000006,"Hardware targets achieved: fidelity=0.978, gates=13, depth=10",59
lexi2,110,21315,1,0.9805,11,6,1,6,53,28,0.23949999999999996,"Hardware targets achieved: fidelity=0.981, gates=11, depth=6",57
lexi2,110,74135,6,0.4885,16,10,2,6,59,28,0.8315000000000001,completed_all_generations,99
lexi2,110,91197,9,0.9768,10,6,2,2,31,13,0.2232,"Hardware targets achieved: fidelity=0.977, gates=10, depth=6",42
lexi2,110,33537,4,0.9803,9,4,1,6,44,23,0.19970000000000004,"Hardware targets achieved: fidelity=0.980, gates=9, depth=4",25
lexi2,110,12147,3,0.9786,18,10,3,8,61,29,0.38139999999999996,"Hardware targets achieved: fidelity=0.979, gates=18, depth=10",49
lexi2,110,67154,7,0.9782,19,11,4,5,41,20,0.40180000000000005,"Hardware targets achieved: fidelity=0.978, gates=19, depth=11",39
lexi2,110,70300,5,0.5435,62,43,10,2,27,14,1.6965,completed_all_generations,99
lexi2,110,29440,10,0.9777,20,12,4,5,53,29,0.4223,"Hardware targets achieved: fidelity=0.978, gates=20, depth=12",34
lexi2,110,47182,2,0.9776,10,5,2,2,27,11,0.2224,"Hardware targets achieved: fidelity=0.978, gates=10, depth=5",31
lexi2,110,80248,8,0.9786,19,10,3,7,61,30,0.4014,"Hardware targets achieved: fidelity=0.979, gates=19, depth=10",15
lexi2,111,21315,1,0.9876,7,3,0,7,46,24,0.15239999999999998,"Hardware targets achieved: fidelity=0.988, gates=7, depth=3",63
lexi2,111,74135,6,0.7466,72,48,11,4,51,28,1.6934,completed_all_generations,99
lexi2,111,91197,9,0.9742,19,10,4,6,44,22,0.40580000000000005,"Hardware targets achieved: fidelity=0.974, gates=19, depth=10",30
lexi2,111,33537,4,0.9775,9,4,1,8,53,28,0.20249999999999996,"Hardware targets achieved: fidelity=0.978, gates=9, depth=4",45
lexi2,111,12147,3,0.4879,33,17,6,7,42,21,1.1721,completed_all_generations,99
lexi2,111,67154,7,0.5434,52,34,9,9,67,34,1.4966,completed_all_generations,99
lexi2,111,70300,5,0.9585,14,7,2,2,31,18,0.3215,"Hardware targets achieved: fidelity=0.959, gates=14, depth=7",30
lexi2,111,29440,10,0.9761,22,16,5,8,51,27,0.46390000000000003,completed_all_generations,99
lexi2,111,47182,2,0.4883,26,15,5,5,41,20,1.0317,completed_all_generations,99
lexi2,111,80248,8,0.9793,18,9,3,5,47,23,0.38070000000000004,"Hardware targets achieved: fidelity=0.979, gates=18, depth=9",56
tournament,000,21315,1,0.9793,11,5,2,2,25,11,0.24070000000000005,"Hardware targets achieved: fidelity=0.979, gates=11, depth=5",18
tournament,000,74135,6,0.9893,3,1,0,4,42,19,0.07070000000000004,"Hardware targets achieved: fidelity=0.989, gates=3, depth=1",25
tournament,000,91197,9,0.9778,9,6,2,2,27,12,0.2022,"Hardware targets achieved: fidelity=0.978, gates=9, depth=6",15
tournament,000,33537,4,0.9801,11,6,2,2,25,11,0.23990000000000003,"Hardware targets achieved: fidelity=0.980, gates=11, depth=6",19
tournament,000,12147,3,0.9783,10,6,2,2,27,12,0.22170000000000006,"Hardware targets achieved: fidelity=0.978, gates=10, depth=6",21
tournament,000,67154,7,0.979,11,5,2,2,26,12,0.24100000000000002,"Hardware targets achieved: fidelity=0.979, gates=11, depth=5",19
tournament,000,70300,5,0.978,11,5,2,2,25,11,0.24200000000000002,"Hardware targets achieved: fidelity=0.978, gates=11, depth=5",19
tournament,000,29440,10,0.9801,9,5,1,4,41,19,0.19990000000000002,"Hardware targets achieved: fidelity=0.980, gates=9, depth=5",15
tournament,000,47182,2,0.9783,9,5,2,2,29,14,0.20170000000000005,"Hardware targets achieved: fidelity=0.978, gates=9, depth=5",23
tournament,000,80248,8,0.9895,3,1,0,4,43,19,0.07049999999999995,"Hardware targets achieved: fidelity=0.990, gates=3, depth=1",24
tournament,001,21315,1,0.9764,10,6,2,2,25,11,0.22359999999999997,"Hardware targets achieved: fidelity=0.976, gates=10, depth=6",15
tournament,001,74135,6,0.9785,9,6,1,5,44,21,0.20149999999999996,"Hardware targets achieved: fidelity=0.979, gates=9, depth=6",26
tournament,001,91197,9,0.9587,13,9,2,2,25,11,0.3013,"Hardware targets achieved: fidelity=0.959, gates=13, depth=9",15
tournament,001,33537,4,0.9695,7,5,0,4,43,20,0.17049999999999998,"Hardware targets achieved: fidelity=0.970, gates=7, depth=5",25
tournament,001,12147,3,0.9757,13,8,2,3,27,13,0.2843,"Hardware targets achieved: fidelity=0.976, gates=13, depth=8",44
tournament,001,67154,7,0.9762,10,5,2,2,29,12,0.22380000000000005,"Hardware targets achieved: fidelity=0.976, gates=10, depth=5",25
tournament,001,70300,5,0.9615,14,8,2,2,25,11,0.3185,"Hardware targets achieved: fidelity=0.962, gates=14, depth=8",15
tournament,001,29440,10,0.9785,8,4,1,3,30,15,0.18149999999999997,"Hardware targets achieved: fidelity=0.979, gates=8, depth=4",24
tournament,001,47182,2,0.9802,8,5,2,2,31,14,0.17980000000000004,"Hardware targets achieved: fidelity=0.980, gates=8, depth=5",37
tournament,001,80248,8,0.9881,5,2,0,4,42,19,0.11190000000000003,"Hardware targets achieved: fidelity=0.988, gates=5, depth=2",25
tournament,010,21315,1,0.9806,20,10,3,7,57,27,0.4194,"Hardware targets achieved: fidelity=0.981, gates=20, depth=10",41
